node_id,occupancy_count,occupancy_fraction,mean_freq_hz
0,18,0.03515625,2484085458.905603
1,24,0.046875,2540876389.797253
2,17,0.033203125,2237602431.4238453
3,35,0.068359375,2330449406.7083993
4,59,0.115234375,2401347950.9150767
5,62,0.12109375,2458100381.8645964
6,51,0.099609375,2494979417.53549
7,46,0.08984375,2177794523.274661
8,10,0.01953125,2455853499.0189667
9,11,0.021484375,2434805874.308818
10,11,0.021484375,2406266722.1594625
11,3,0.005859375,2640287769.7841725
12,8,0.015625,2388897972.531066
13,38,0.07421875,2688306770.851261
14,27,0.052734375,2605261245.549015
15,1,0.001953125,2571615434.9247875
16,4,0.0078125,2629005886.200131
17,11,0.021484375,2334918841.7860756
18,1,0.001953125,2597122302.1582737
19,11,0.021484375,2422855104.346275
20,13,0.025390625,2423554862.4037833
21,1,0.001953125,2591236102.0274687
22,0,0.0,
23,11,0.021484375,2402342588.7389264
24,0,0.0,
25,0,0.0,
26,6,0.01171875,2522890778.2864614
27,18,0.03515625,2350228907.782865
28,0,0.0,
29,3,0.005859375,2487246566.383257
30,8,0.015625,3230134074.5585346
31,4,0.0078125,2346468279.9215174
